DATAFLOW,LAST UPDATE,freq,unit,sex,frequenc,age,wstatus,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Luxembourg,2021,40.4,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Luxembourg,2023,55.1,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Luxembourg,2025,48.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Latvia,2021,76.2,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Latvia,2023,79.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Latvia,2025,74.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Malta,2021,74.1,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Malta,2023,73.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Malta,2025,75.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Netherlands,2021,24.9,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Netherlands,2023,27.3,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Netherlands,2025,25.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Poland,2021,68.4,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Poland,2023,66.7,,
