DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Estonia,2021,8.9,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Estonia,2023,-6.0,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Estonia,2025,1.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Greece,2021,-3.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Greece,2023,0.1,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Greece,2025,2.6,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Spain,2021,-0.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Spain,2023,-0.2,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Spain,2025,0.7,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,European Union - 27 countries (from 2020),2021,0.6,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,European Union - 27 countries (from 2020),2023,-0.8,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,European Union - 27 countries (from 2020),2025,1.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Finland,2021,0.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Finland,2023,-1.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Finland,2025,1.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,France,2021,-1.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,France,2023,0.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,France,2025,1.5,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Croatia,2021,11.1,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Croatia,2023,1.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Croatia,2025,2.4,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Hungary,2021,2.8,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Hungary,2023,0.3,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Hungary,2025,0.1,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Ireland,2021,8.1,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Ireland,2023,-4.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Ireland,2025,10.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Italy,2021,-1.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Italy,2023,-2.1,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Italy,2025,-0.6,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Lithuania,2021,3.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Lithuania,2023,-1.6,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Lithuania,2025,2.9,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Luxembourg,2021,-2.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Luxembourg,2023,-1.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Luxembourg,2025,0.0,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Latvia,2021,6.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Latvia,2023,-1.0,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Latvia,2025,4.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Malta,2021,9.6,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Malta,2023,3.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Malta,2025,-0.9,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Netherlands,2021,1.6,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Netherlands,2023,-1.9,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Netherlands,2025,2.4,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Poland,2021,1.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Poland,2023,0.8,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Poland,2025,4.1,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Portugal,2021,1.0,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Portugal,2023,-1.7,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Portugal,2025,0.0,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Romania,2021,0.9,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Romania,2023,4.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Romania,2025,3.9,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Sweden,2021,2.6,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Sweden,2023,-1.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Sweden,2025,2.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Slovenia,2021,3.0,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Slovenia,2023,2.3,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Slovenia,2025,2.8,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Slovakia,2021,5.6,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Slovakia,2023,0.9,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Slovakia,2025,1.6,,
