DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises,Spain,2021,5.51,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises,Spain,2023,5.62,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises,Spain,2025,5.77,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises,Portugal,2021,13.63,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises,Portugal,2023,11.85,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises,Sweden,2025,1.82,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises where persons employed have access to the internet,Germany,2023,7.89,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises where persons employed have access to the internet,Spain,2021,6.76,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises where persons employed have access to the internet,Spain,2023,6.72,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises where persons employed have access to the internet,Spain,2025,7.33,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises where persons employed have access to the internet,Portugal,2021,16.16,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises where persons employed have access to the internet,Portugal,2023,13.50,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises where persons employed have access to the internet,Sweden,2025,2.02,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM or BI software, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises,Germany,2023,33.77,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM or BI software, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises,Spain,2023,22.32,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM or BI software, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises,Portugal,2023,30.03,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM or BI software, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises where persons employed have access to the internet,Germany,2023,34.39,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM or BI software, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises where persons employed have access to the internet,Spain,2023,26.73,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM or BI software, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises where persons employed have access to the internet,Portugal,2023,34.22,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises,Germany,2023,3.55,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises,Spain,2023,1.96,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises,Spain,2025,2.88,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises,Portugal,2023,2.59,,
